date,description,amount
2025-01-10,TRANSFER FR AR SETTLEMENT,8500.00
2025-01-10,VENDOR PMT-OUTSTANDING AP,-3600.00
2025-01-10,RENT PAYMENT JAN 2025,-3800.00
2025-01-20,SUBCONTRACTOR NEXUS TECH,-4500.00
2025-01-22,OFFICE SUPPLIES,-250.00
2025-01-25,RETAINER RECEIPT CLIENT A,8000.00
2025-01-28,RETAINER RECEIPT CLIENT B,5500.00
2025-01-31,PAYROLL JAN 2025,-14800.00
2025-02-05,VENDOR PMT-UTILITIES JAN,-380.00
2025-02-05,VENDOR PMT-TELECOM JAN,-185.00
2025-02-05,RENT PAYMENT FEB 2025,-3800.00
2025-02-10,PROJECT RECEIPT CLIENT C,15000.00
2025-02-14,CPF PAYMENT JAN 2025,-6845.00
2025-02-25,RETAINER RECEIPT CLIENT A,8000.00
2025-02-26,RETAINER RECEIPT CLIENT B,5500.00
2025-02-28,PAYROLL FEB 2025,-14800.00
2025-03-05,VENDOR PMT-UTILITIES FEB,-380.00
2025-03-05,VENDOR PMT-TELECOM FEB,-185.00
2025-03-05,VENDOR PMT-PROF FEES,-1200.00
2025-03-05,RENT PAYMENT MAR 2025,-3800.00
2025-03-10,CONSULTING RECEIPT CLIENT D,6500.00
2025-03-14,CPF PAYMENT FEB 2025,-6845.00
2025-03-15,INSURANCE PREMIUM Q1,-1800.00
2025-03-20,SUBCONTRACTOR NEXUS TECH,-6000.00
2025-03-20,PROJECT MATERIALS CLIENT E,-3500.00
2025-03-25,RETAINER RECEIPT CLIENT A,8000.00
2025-03-26,RETAINER RECEIPT CLIENT B,5500.00
2025-03-31,PAYROLL MAR 2025,-14800.00
